DATE,CSINFT02RUQ460S
1998-10-01,-84
1999-01-01,-76
1999-04-01,-74
1999-07-01,-80
1999-10-01,-71
2000-01-01,-69
2000-04-01,-66
2000-07-01,-70
2000-10-01,-72
2001-01-01,-74
2001-04-01,-72
2001-07-01,-68
2001-10-01,-72
2002-01-01,-75
2002-04-01,-70
2002-07-01,-70
2002-10-01,-72
2003-01-01,-76
2003-04-01,-70
2003-07-01,-70
2003-10-01,-73
2004-01-01,-71
2004-04-01,-70
2004-07-01,-72
2004-10-01,-79
2005-01-01,-78
2005-04-01,-74
2005-07-01,-72
2005-10-01,-72
2006-01-01,-80
2006-04-01,-73
2006-07-01,-73
2006-10-01,-73
2007-01-01,-73
2007-04-01,-69
2007-07-01,-76
2007-10-01,-82
2008-01-01,-80
2008-04-01,-83
2008-07-01,-80
2008-10-01,-84
2009-01-01,-84
2009-04-01,-75
2009-07-01,-75
2009-10-01,-73
2010-01-01,-72
2010-04-01,-66
2010-07-01,-77
2010-10-01,-77
2011-01-01,-78
2011-04-01,-73
2011-07-01,-69
2011-10-01,-70
2012-01-01,-69
2012-04-01,-67
2012-07-01,-70
2012-10-01,-72
2013-01-01,-72
2013-04-01,-67
2013-07-01,-69
2013-10-01,-74
2014-01-01,-74
2014-04-01,-70
2014-07-01,-71
2014-10-01,-79
2015-01-01,-78
2015-04-01,-63.0
2015-07-01,-73.0
2015-10-01,-75.0
2016-01-01,-75.0
2016-04-01,-71.0
2016-07-01,-68.0
2016-10-01,-67.0
2017-01-01,-64.0
2017-04-01,-61.0
2017-07-01,-62.0
2017-10-01,-61.0
2018-01-01,-57.0
2018-04-01,-60.0
2018-07-01,-67.0
2018-10-01,-71.0
2019-01-01,-70.0
2019-04-01,-64.0
2019-07-01,-65.0
2019-10-01,-66.0
2020-01-01,-63.0
2020-04-01,-73.0
2020-07-01,-70.0
2020-10-01,-75.0
2021-01-01,-72.0
2021-04-01,-73.0
2021-07-01,-74.0
2021-10-01,-77.0
