"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"RUS","CCI","AMPLITUD","LTRENDIDX","M","1998-11",89.67,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","1998-12",90.21,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","1999-01",90.73,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","1999-02",91.17,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","1999-03",91.5,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","1999-04",91.72,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","1999-05",91.87,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","1999-06",91.97,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","1999-07",92.12,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","1999-08",92.45,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","1999-09",93.12,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","1999-10",93.97,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","1999-11",94.87,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","1999-12",95.71,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","2000-01",96.51,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","2000-02",96.72639,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","2000-03",97.49339,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","2000-04",98.19267,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","2000-05",98.69062,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","2000-06",98.85728,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","2000-07",98.83726,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","2000-08",98.78693,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","2000-09",98.79835,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","2000-10",98.85353,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","2000-11",98.90908,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","2000-12",98.93712,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","2001-01",98.96587,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","2001-02",99.05157,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","2001-03",99.24982,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","2001-04",99.52972,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","2001-05",99.86412,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","2001-06",100.2379,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","2001-07",100.6018,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","2001-08",100.8834,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","2001-09",101.0074,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","2001-10",100.9983,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","2001-11",100.8567,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","2001-12",100.5681,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","2002-01",100.2447,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","2002-02",100.0296,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","2002-03",100.0356,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","2002-04",100.1761,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","2002-05",100.3509,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","2002-06",100.4986,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","2002-07",100.6132,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","2002-08",100.6932,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","2002-09",100.7229,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","2002-10",100.6884,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","2002-11",100.5476,
"RUS","CCI","AMPLITUD","LTRENDIDX","M","2002-12",100.2655,
